mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0.631574010848999,0.03998755612311863,0.12723169326782227,0.002168796589439638,3,1,2,50,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.8698630136986302,0.9387755102040817,0.9315068493150684,0.8424657534246576,0.9657534246575342,0.9096729102599944,0.045978986738237346,7,0.9179487179487179,0.9246575342465754,0.9179487179487179,0.9282051282051282,0.9179487179487179,0.9213417632595716,0.004304378818335355,0.12235067437379576,0.12909260991580918,0.12465627864344637,0.11826923076923077,0.13043478260869565,0.12496071526219554,0.004443397946529702,33,0.13015026660203588,0.12393848978655038,0.1267406183620486,0.12879506641366223,0.12393261020078468,0.12671141027301636,0.0025131266081218945,0.21452702702702703,0.22697368421052633,0.2198868229587712,0.20741989881956155,0.22982885085574573,0.2197272567743264,0.008162007402502232,33,0.22797707493101252,0.2185792349726776,0.22272915802571547,0.22620287440116643,0.2183814558763725,0.2227739596413889,0.0038915723481307827,0.7666976409580049,0.8118797431406889,0.815971139313389,0.781841518124895,0.820616318403186,0.7994012719880328,0.021251933456355804,33,0.8288209880701124,0.8258408720526657,0.8228190254894863,0.8294040666810724,0.8172278768864082,0.8248225658359489,0.004465600789763979
0.9003224849700928,0.0078090076742218266,0.16698784828186036,0.0027350297652750494,3,1,2,75,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 75}",0.8698630136986302,0.9387755102040817,0.9315068493150684,0.863013698630137,0.9657534246575342,0.9137824993010902,0.04036377731821394,1,0.9247863247863248,0.922945205479452,0.9179487179487179,0.9367521367521368,0.9196581196581196,0.9244181009249504,0.006617307418361622,0.12235067437379576,0.12909260991580918,0.12465627864344637,0.11898016997167139,0.12995391705069123,0.12500672999108278,0.004114995694257512,31,0.12995435983665626,0.12373737373737374,0.12710059171597632,0.12779850746268656,0.12410611303344868,0.12653938915722832,0.002338139220324435,0.21452702702702703,0.22697368421052633,0.2198868229587712,0.2091286307053942,0.22908204711616573,0.2199196424035769,0.007473104804793463,29,0.22788542544229148,0.21821862348178137,0.2232848232848233,0.22491278473219783,0.2186991869918699,0.22260016878659278,0.003692329357771208,0.7659932256227332,0.8102713940217066,0.8160835952306696,0.7867370990571695,0.8198651128757527,0.7997900853616063,0.020449700264053596,25,0.8307790538416631,0.8255018545699332,0.8251943586188961,0.8322539425965058,0.8196422173767034,0.8266742854007404,0.004494362166162886
0.6016242504119873,0.003866970532018773,0.1257479190826416,0.0009487813958900754,3,1,4,50,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 50}",0.8698630136986302,0.9387755102040817,0.9315068493150684,0.8424657534246576,0.9657534246575342,0.9096729102599944,0.045978986738237346,7,0.9179487179487179,0.9246575342465754,0.9179487179487179,0.9282051282051282,0.9179487179487179,0.9213417632595716,0.004304378818335355,0.12235067437379576,0.12909260991580918,0.12465627864344637,0.11826923076923077,0.13043478260869565,0.12496071526219554,0.004443397946529702,33,0.13015026660203588,0.12393848978655038,0.1267406183620486,0.12879506641366223,0.12393261020078468,0.12671141027301636,0.0025131266081218945,0.21452702702702703,0.22697368421052633,0.2198868229587712,0.20741989881956155,0.22982885085574573,0.2197272567743264,0.008162007402502232,33,0.22797707493101252,0.2185792349726776,0.22272915802571547,0.22620287440116643,0.2183814558763725,0.2227739596413889,0.0038915723481307827,0.7666976409580049,0.8118797431406889,0.815971139313389,0.781841518124895,0.820616318403186,0.7994012719880328,0.021251933456355804,33,0.8288209880701124,0.8258408720526657,0.8228190254894863,0.8294040666810724,0.8172278768864082,0.8248225658359489,0.004465600789763979
0.892269229888916,0.00905899782347067,0.16655969619750977,0.002611847025960753,3,1,4,75,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 75}",0.8698630136986302,0.9387755102040817,0.9315068493150684,0.863013698630137,0.9657534246575342,0.9137824993010902,0.04036377731821394,1,0.9247863247863248,0.922945205479452,0.9179487179487179,0.9367521367521368,0.9196581196581196,0.9244181009249504,0.006617307418361622,0.12235067437379576,0.12909260991580918,0.12465627864344637,0.11898016997167139,0.12995391705069123,0.12500672999108278,0.004114995694257512,31,0.12995435983665626,0.12373737373737374,0.12710059171597632,0.12779850746268656,0.12410611303344868,0.12653938915722832,0.002338139220324435,0.21452702702702703,0.22697368421052633,0.2198868229587712,0.2091286307053942,0.22908204711616573,0.2199196424035769,0.007473104804793463,29,0.22788542544229148,0.21821862348178137,0.2232848232848233,0.22491278473219783,0.2186991869918699,0.22260016878659278,0.003692329357771208,0.7659932256227332,0.8102713940217066,0.8160835952306696,0.7867370990571695,0.8198651128757527,0.7997900853616063,0.020449700264053596,25,0.8307790538416631,0.8255018545699332,0.8251943586188961,0.8322539425965058,0.8196422173767034,0.8266742854007404,0.004494362166162886
0.6034783840179443,0.00314807557221691,0.12585735321044922,0.002331966303709014,3,5,2,50,"{'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.8698630136986302,0.9387755102040817,0.9315068493150684,0.8424657534246576,0.9657534246575342,0.9096729102599944,0.045978986738237346,7,0.9162393162393162,0.9246575342465754,0.9179487179487179,0.9299145299145299,0.9179487179487179,0.9213417632595716,0.005168116560530485,0.12318137730358875,0.12909260991580918,0.12465627864344637,0.11826923076923077,0.13055555555555556,0.12515101043752613,0.004386990312580091,25,0.13031850230974956,0.12391005048187242,0.1267406183620486,0.1289710763394974,0.12390401476695893,0.12676885245202538,0.00260117838654552,0.21580288870008496,0.22697368421052633,0.2198868229587712,0.20741989881956155,0.2300163132137031,0.22001992158052947,0.0080603264888328,27,0.22818220519369944,0.21853500607041684,0.22272915802571547,0.22652508848636269,0.21833706037812564,0.22286170363086405,0.004023391657823182,0.7667216210545248,0.8116891239858465,0.8168078113379555,0.7808968884197395,0.8205113595470576,0.7993253608690247,0.021493988459561356,35,0.828723692876495,0.8256356624652738,0.8224380255353222,0.828814746840357,0.8167721362095883,0.8244768527854074,0.004510327915679304
0.8904356956481934,0.003759490220408909,0.16331357955932618,0.001164569888083768,3,5,2,75,"{'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 75}",0.8698630136986302,0.9387755102040817,0.9315068493150684,0.863013698630137,0.9657534246575342,0.9137824993010902,0.04036377731821394,1,0.9247863247863248,0.922945205479452,0.9179487179487179,0.9367521367521368,0.9196581196581196,0.9244181009249504,0.006617307418361622,0.12270531400966184,0.12909260991580918,0.12465627864344637,0.11898016997167139,0.12995391705069123,0.125077657918256,0.00407142918499,27,0.13023591718825228,0.12370897406472343,0.12710059171597632,0.12761993479273404,0.12407749077490775,0.12654858170731875,0.002417379465138558,0.21507197290431837,0.22697368421052633,0.2198868229587712,0.2091286307053942,0.22908204711616573,0.22002863157903518,0.007397251961234519,25,0.2283182105929521,0.21817445861161708,0.2232848232848233,0.22463619594179135,0.21865474497053444,0.22261368668034365,0.0038069023216224683,0.7660741584484878,0.8102207608087019,0.8162485305760142,0.7862542883189789,0.8194752656958472,0.799654600769606,0.020430739011433205,29,0.8304461920158067,0.8251980694181867,0.8248424504854405,0.8318185007141995,0.819085637527139,0.8262781700321545,0.004539341430459525
0.6043211460113526,0.002588146678595932,0.12702560424804688,0.003980559995263322,3,5,4,50,"{'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 50}",0.8698630136986302,0.9387755102040817,0.9315068493150684,0.8424657534246576,0.9657534246575342,0.9096729102599944,0.045978986738237346,7,0.9162393162393162,0.9246575342465754,0.9179487179487179,0.9299145299145299,0.9179487179487179,0.9213417632595716,0.005168116560530485,0.12318137730358875,0.12909260991580918,0.12465627864344637,0.11826923076923077,0.13055555555555556,0.12515101043752613,0.004386990312580091,25,0.13031850230974956,0.12391005048187242,0.1267406183620486,0.1289710763394974,0.12390401476695893,0.12676885245202538,0.00260117838654552,0.21580288870008496,0.22697368421052633,0.2198868229587712,0.20741989881956155,0.2300163132137031,0.22001992158052947,0.0080603264888328,27,0.22818220519369944,0.21853500607041684,0.22272915802571547,0.22652508848636269,0.21833706037812564,0.22286170363086405,0.004023391657823182,0.7667216210545248,0.8116891239858465,0.8168078113379555,0.7808968884197395,0.8205113595470576,0.7993253608690247,0.021493988459561356,35,0.828723692876495,0.8256356624652738,0.8224380255353222,0.828814746840357,0.8167721362095883,0.8244768527854074,0.004510327915679304
0.9013098239898681,0.015350033990455996,0.16379528045654296,0.0014400415499324407,3,5,4,75,"{'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 75}",0.8698630136986302,0.9387755102040817,0.9315068493150684,0.863013698630137,0.9657534246575342,0.9137824993010902,0.04036377731821394,1,0.9247863247863248,0.922945205479452,0.9179487179487179,0.9367521367521368,0.9196581196581196,0.9244181009249504,0.006617307418361622,0.12270531400966184,0.12909260991580918,0.12465627864344637,0.11898016997167139,0.12995391705069123,0.125077657918256,0.00407142918499,27,0.13023591718825228,0.12370897406472343,0.12710059171597632,0.12761993479273404,0.12407749077490775,0.12654858170731875,0.002417379465138558,0.21507197290431837,0.22697368421052633,0.2198868229587712,0.2091286307053942,0.22908204711616573,0.22002863157903518,0.007397251961234519,25,0.2283182105929521,0.21817445861161708,0.2232848232848233,0.22463619594179135,0.21865474497053444,0.22261368668034365,0.0038069023216224683,0.7660741584484878,0.8102207608087019,0.8162485305760142,0.7862542883189789,0.8194752656958472,0.799654600769606,0.020430739011433205,29,0.8304461920158067,0.8251980694181867,0.8248424504854405,0.8318185007141995,0.819085637527139,0.8262781700321545,0.004539341430459525
0.6368810653686523,0.026548699284292283,0.12550015449523927,0.0006464943946983626,3,10,2,50,"{'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.8698630136986302,0.9387755102040817,0.9315068493150684,0.8424657534246576,0.9657534246575342,0.9096729102599944,0.045978986738237346,7,0.9162393162393162,0.9246575342465754,0.9196581196581196,0.9299145299145299,0.9179487179487179,0.9216836436014519,0.004985672118592048,0.12294288480154889,0.12909260991580918,0.1248852157943067,0.11826923076923077,0.13019390581717452,0.12507676941961401,0.004318444132628432,29,0.13003396409509946,0.12388162422573985,0.12697663441113996,0.1291547958214625,0.12378976486860305,0.12676735668440897,0.0025926006873481125,0.2154368108566582,0.22697368421052633,0.2202429149797571,0.20741989881956155,0.22945484133441824,0.21990563004018432,0.007963948973166032,31,0.22774591034629277,0.21849079506372648,0.22314392368311903,0.22680842193037315,0.2181596587446679,0.2228697419536359,0.004018095406371753,0.7672521806900272,0.8116772102886689,0.8173925821078137,0.7808399107549842,0.8198906028836696,0.7994104973450328,0.021318003462393997,31,0.8280813574924784,0.8248516493978271,0.8211675267930056,0.8280925026355692,0.8161104142170137,0.8236606901071788,0.004556844868524236
0.8930343151092529,0.0026364549871165086,0.1673654079437256,0.0019263203199796593,3,10,2,75,"{'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 75}",0.8698630136986302,0.9387755102040817,0.9315068493150684,0.863013698630137,0.9657534246575342,0.9137824993010902,0.04036377731821394,1,0.9247863247863248,0.9212328767123288,0.9179487179487179,0.9367521367521368,0.9196581196581196,0.9240756351715257,0.006728054780922577,0.12223291626564003,0.1287313432835821,0.12454212454212454,0.11886792452830189,0.12995391705069123,0.12486564513406798,0.004094941089040238,35,0.1299231508165226,0.12353616532721011,0.12707051585423568,0.1276794035414725,0.12404888171547153,0.1264516234509825,0.0023755015439329242,0.21434599156118145,0.22641509433962265,0.2197092084006462,0.208955223880597,0.22908204711616573,0.2197015130596426,0.007446220432500154,35,0.22783743946093915,0.2178578659647702,0.2232384119725629,0.22472831658806644,0.21861032100772043,0.22245447099881183,0.0037594561753354887,0.7664308623842211,0.809881220439139,0.816776323681117,0.7866411366744235,0.8189474725907444,0.7997354031539289,0.02021428427306422,27,0.8299791750864429,0.82469947571293,0.8233569903155106,0.8309874661959593,0.8184143741657149,0.8254874962953116,0.004595953352660244
