mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0.7237160205841064,0.035853263363855116,0.14145841598510742,0.0031762378906642517,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.8287671232876712,0.9251700680272109,0.8972602739726028,0.8287671232876712,0.9452054794520548,0.8850340136054422,0.048400238638475715,1,0.9452991452991453,0.9383561643835616,0.9162393162393162,0.947008547008547,0.9418803418803419,0.9377567029621824,0.01116106390958426,0.12246963562753037,0.13438735177865613,0.1297029702970297,0.12448559670781893,0.13437195715676728,0.1290835023135605,0.004926789682124959,27,0.14028411973617452,0.1329129274799903,0.13821557503867973,0.1400050543340915,0.13409588707714773,0.13710271273321675,0.0030456099813241334,0.21340388007054673,0.23468507333908542,0.22664359861591696,0.21645796064400716,0.23529411764705882,0.22529692606332302,0.009049492013006992,25,0.24431190633973934,0.23284469938389632,0.24019717678691463,0.24394539850286218,0.23476778866638262,0.239213393935959,0.004683549960465609,0.7726447048949372,0.8182357005849624,0.8082131804332702,0.7853741333397308,0.8309772569152893,0.8030889952336381,0.021326538597398064,36,0.8620427125899981,0.8649791192217102,0.8582192812355885,0.8662504946077234,0.8544539016247455,0.8611891018559532,0.004356451220369423
1.034386157989502,0.00510075578639596,0.18457717895507814,0.0029678416757692332,5,2,75,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 75}",0.815068493150685,0.9183673469387755,0.9041095890410958,0.815068493150685,0.958904109589041,0.8823036063740565,0.05776651669730938,3,0.947008547008547,0.940068493150685,0.9230769230769231,0.947008547008547,0.9435897435897436,0.9401504507668893,0.008915242768112494,0.11971830985915492,0.13486513486513488,0.12753623188405797,0.12155260469867211,0.1344860710854947,0.12763167047850293,0.006306999925265094,36,0.13975782038345105,0.134033203125,0.13677811550151975,0.1385,0.13317249698431846,0.13644832719885785,0.002523281777091291,0.20877192982456141,0.23519163763066203,0.2235393734123624,0.21155555555555555,0.2358887952822241,0.22298945834107312,0.0113882459540417,36,0.24357001538799736,0.23461538461538461,0.23825281270681667,0.2416575790621592,0.23340380549682876,0.23829991945383733,0.003914019343386207,0.7703755882617426,0.8179408365798158,0.812429527625171,0.7884779166566706,0.8309442698462203,0.804033627793924,0.021739034109146124,35,0.8594266880716093,0.8641456309660707,0.8601474796287097,0.8704400909610497,0.8559457227072418,0.8620211224669362,0.00495064998610804
1.3842275619506836,0.011843176711459522,0.2402247428894043,0.004519246568727427,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.821917808219178,0.9183673469387755,0.9178082191780822,0.815068493150685,0.9315068493150684,0.8809337433603579,0.05126353962686385,5,0.9401709401709402,0.9383561643835616,0.9213675213675213,0.9401709401709402,0.9435897435897436,0.9367310619365414,0.007866210972688055,0.12024048096192384,0.1347305389221557,0.1303501945525292,0.12447698744769875,0.13399014778325122,0.12875766993351173,0.005593869386887402,31,0.13801756587202008,0.13401809733431158,0.13655941221180642,0.14066496163682865,0.13579335793357933,0.1370106789977092,0.002236455234587373,0.2097902097902098,0.2349869451697128,0.2282793867120954,0.2159709618874773,0.23428079242032732,0.22466165919596454,0.01008876041884595,30,0.24070021881838075,0.2345388401455168,0.23786407766990292,0.2447163515016685,0.23741935483870968,0.23904776859483573,0.0034422874732049115,0.7728335481550314,0.8187569248364844,0.8131402490223831,0.7890686850754504,0.8328215339586883,0.8053241882096076,0.02152912592959203,30,0.8626789670244136,0.8675011356804562,0.8607867513416381,0.8695483471449326,0.8590526543246254,0.8639135711032132,0.003988761251750843
1.7060418605804444,0.006469159726666657,0.2747823715209961,0.000667535464103267,5,2,125,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 125}",0.821917808219178,0.9115646258503401,0.910958904109589,0.815068493150685,0.9178082191780822,0.8754636101015748,0.046628292277094495,9,0.9367521367521368,0.9383561643835616,0.9247863247863248,0.9401709401709402,0.9435897435897436,0.9367310619365414,0.0063904995733728,0.12036108324974924,0.13535353535353536,0.13077679449360866,0.12460732984293194,0.13440320962888666,0.1291003905137424,0.005772263453882671,26,0.1382093316519546,0.13544241225902126,0.13822176801226366,0.14052120592743997,0.13717693836978131,0.13791433124409216,0.001651149293164057,0.2099737532808399,0.2357080035180299,0.22871883061049011,0.2161671207992734,0.23447069116360456,0.22500767987444759,0.010217559220336112,26,0.2408791208791209,0.2367170626349892,0.2404978884196488,0.24449877750611246,0.2395313517031894,0.24042484022861216,0.0025041808368199553,0.7749228140643265,0.8193198470281282,0.8158631816327999,0.790313197226687,0.8314840582491664,0.8063806196402215,0.020665337219594907,27,0.8645601321717785,0.8694346035463214,0.8638074364680471,0.871888601712395,0.8611107837111996,0.8661603115219483,0.003927559620180086
0.6950304985046387,0.0022158388703409164,0.13985872268676758,0.0027617873773159284,5,4,50,"{'max_depth': 5, 'min_samples_split': 4, 'n_estimators': 50}",0.821917808219178,0.9251700680272109,0.8835616438356164,0.8287671232876712,0.9383561643835616,0.8795545615506477,0.04786610252606737,7,0.947008547008547,0.9383561643835616,0.9179487179487179,0.947008547008547,0.9452991452991453,0.9391242243297038,0.011058451281794678,0.12257405515832483,0.13438735177865613,0.12759643916913946,0.12435765673175746,0.13391984359726294,0.12856706928702816,0.004839532546263566,32,0.14136259249808625,0.13294517224648228,0.13797533401849948,0.1395817586293777,0.1348780487804878,0.1373485812345867,0.003065476409158087,0.21333333333333335,0.23468507333908542,0.222990492653414,0.2162645218945487,0.23438836612489308,0.22433235746905492,0.008901361018976619,32,0.24600355239786856,0.23289417764555886,0.2398927853473308,0.24330259112867808,0.2360725720384205,0.23963313571157135,0.0047372080223391936,0.7763766074158448,0.8191173141761082,0.8091818007341123,0.786501691336996,0.8309232780749947,0.8044201383476113,0.020241576973245697,33,0.862869441076534,0.8647130026791565,0.8575118167982345,0.8669626361866705,0.8553232887040483,0.8614760370889287,0.004383917101523112
1.0419855117797852,0.00844296542379205,0.18444652557373048,0.002932099778646725,5,4,75,"{'max_depth': 5, 'min_samples_split': 4, 'n_estimators': 75}",0.821917808219178,0.9183673469387755,0.9041095890410958,0.815068493150685,0.9452054794520548,0.8809337433603579,0.05270742328343324,5,0.947008547008547,0.9366438356164384,0.9247863247863248,0.947008547008547,0.9435897435897436,0.9398073996019202,0.008410231859968068,0.12084592145015106,0.13513513513513514,0.12903225806451613,0.1206896551724138,0.1338506304558681,0.12791072005561682,0.006177179189449008,35,0.1403242147922999,0.1340357755452095,0.1381159050293592,0.1383270911360799,0.13404565322972317,0.13696972794653434,0.0025126491348644122,0.21071115013169447,0.2356020942408377,0.22583404619332764,0.21024734982332155,0.2344944774851317,0.2233778235748626,0.011062547392738696,35,0.2444297374806971,0.23451232583065382,0.2403376277210129,0.24139433551198258,0.23474378056559642,0.23908356142198856,0.003878758830890054,0.7730643565840353,0.8165975672230363,0.8119857016049709,0.7890326991819208,0.8309112827771514,0.804318321474223,0.020626268471578668,34,0.8600169143951981,0.86368498697903,0.861056528868721,0.8702554374109589,0.855455371182634,0.8620938477673084,0.004870365973871835
1.3722093105316162,0.009028794276792667,0.23019652366638182,0.0033424156994648862,5,4,100,"{'max_depth': 5, 'min_samples_split': 4, 'n_estimators': 100}",0.821917808219178,0.9115646258503401,0.910958904109589,0.815068493150685,0.9246575342465754,0.8768334731152734,0.04793450080046957,8,0.9401709401709402,0.9315068493150684,0.9196581196581196,0.9418803418803419,0.9435897435897436,0.9353611989228428,0.008885769436602207,0.12036108324974924,0.13549039433771487,0.13013698630136986,0.12473794549266247,0.1337958374628345,0.1289044493688662,0.005642133552198133,28,0.13864381144441643,0.13415536374845868,0.13672172808132146,0.140992835209826,0.13612823674475955,0.1373283950457564,0.0023252954386369633,0.2099737532808399,0.23591549295774647,0.22773972602739725,0.21636363636363637,0.23376623376623376,0.22475176847917075,0.01003561370863761,29,0.24165202108963094,0.23453330459150679,0.23805309734513275,0.2452704206543512,0.23793103448275862,0.23948797563267604,0.0036647365454840963,0.7751356374209408,0.8172974969322229,0.8135061056066021,0.789965333589233,0.8325936232996666,0.8056996393697331,0.02049616637466993,28,0.8629612166389751,0.8670856565432435,0.86217623656608,0.8692288048313002,0.8588231002152421,0.8640550029589683,0.003689228237848278
1.846642541885376,0.11144001374751515,0.29781594276428225,0.01722942509707691,5,4,125,"{'max_depth': 5, 'min_samples_split': 4, 'n_estimators': 125}",0.821917808219178,0.9115646258503401,0.8972602739726028,0.815068493150685,0.9178082191780822,0.8727238840741774,0.0448299818627132,11,0.9401709401709402,0.9383561643835616,0.9213675213675213,0.9452991452991453,0.9435897435897436,0.9377567029621824,0.008552262484370311,0.12036108324974924,0.1363173957273652,0.12996031746031747,0.12447698744769875,0.13467336683417086,0.1291578301438603,0.0060268989453118585,25,0.13871374527112232,0.1363523264493655,0.13873873873873874,0.141359918200409,0.137621540762902,0.13855725388450751,0.0016522480209831742,0.2099737532808399,0.23716814159292035,0.2270363951473137,0.2159709618874773,0.23488168273444346,0.22500618692859894,0.010556227138495921,27,0.24175824175824176,0.23810558331522919,0.2411633109619687,0.24594173893706917,0.2402088772845953,0.24143555045142082,0.0025720570317794562,0.7758460477803424,0.8179944482171152,0.8165049300674136,0.7906910491087494,0.8311182016649473,0.8064309353677135,0.020138722323105082,26,0.8652624350741689,0.8690834046725568,0.8649147965116006,0.8716223788129226,0.8615530542202317,0.8664872138582961,0.0035051001860550925
0.7453272819519043,0.02495596322534394,0.15626730918884277,0.00865500627751494,5,6,50,"{'max_depth': 5, 'min_samples_split': 6, 'n_estimators': 50}",0.8287671232876712,0.9251700680272109,0.8835616438356164,0.8287671232876712,0.9452054794520548,0.8822942875780451,0.048016812551343914,4,0.9487179487179487,0.9383561643835616,0.9162393162393162,0.9452991452991453,0.9384615384615385,0.9374148226203021,0.011316421806756287,0.12384851586489252,0.13320274240940255,0.12887112887112886,0.12359550561797752,0.13463414634146342,0.12883040782097296,0.004583138603802286,30,0.14267352185089974,0.13201638159479642,0.1384297520661157,0.1384576865297947,0.1336416747809153,0.13704380336450436,0.003806917340695974,0.21549421193232413,0.2328767123287671,0.22493461203138623,0.21511111111111111,0.23569598633646455,0.22482252674801062,0.008537489594429128,28,0.24804469273743016,0.231467793030623,0.2405205295041508,0.24153745359248743,0.23396548050287663,0.23910718987351362,0.005875035786666657,0.7787866071160936,0.8186005575610279,0.8115958544250654,0.7853591392174267,0.8307013650648944,0.8050087046769017,0.019808814339459718,31,0.8617272516353076,0.8647225603859665,0.8564834069047706,0.8642855338816815,0.8567419592920305,0.8607921424199514,0.0035635820082210163
1.2406861782073975,0.09269719770684054,0.20543675422668456,0.007210029571164922,5,6,75,"{'max_depth': 5, 'min_samples_split': 6, 'n_estimators': 75}",0.815068493150685,0.9183673469387755,0.9041095890410958,0.8356164383561644,0.9452054794520548,0.883673469387755,0.04984698463222057,2,0.9504273504273504,0.9366438356164384,0.9179487179487179,0.947008547008547,0.935042735042735,0.9374142372087577,0.01137115541512051,0.119358074222668,0.13406156901688182,0.12903225806451613,0.1227364185110664,0.134765625,0.12799078896302646,0.0060986818955304474,34,0.1409021794221997,0.13325213154689403,0.13632901751713633,0.13753723932472692,0.13305765020676236,0.13621564360354385,0.0029147354212038317,0.20822397200349957,0.2339688041594454,0.22583404619332764,0.21403508771929824,0.2358974358974359,0.22359186919460136,0.01087786233668271,33,0.245420436989627,0.23331200682448283,0.23740053050397877,0.2401907652287015,0.23296422487223167,0.23785759288380434,0.004635873451646456,0.7747459608524924,0.8164516244326101,0.8118657486265384,0.7884089436940719,0.831996857231965,0.8046938269675354,0.020480282376997776,32,0.8599758445971231,0.8634132482559996,0.8605902178519012,0.8667900496618894,0.8559848236109591,0.8613508367955746,0.0036083741451773716
