mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.38634452819824217,0.06598892676492327,0.030135536193847658,0.0053170276047762675,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.8287671232876712,0.9251700680272109,0.8972602739726028,0.8287671232876712,0.9452054794520548,0.8850340136054422,0.048400238638475715,1,0.9452991452991453,0.9383561643835616,0.9162393162393162,0.947008547008547,0.9418803418803419,0.9377567029621824,0.01116106390958426
0.6593338012695312,0.08029117782150307,0.048779296875,0.01633131569479195,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.821917808219178,0.9183673469387755,0.9178082191780822,0.815068493150685,0.9315068493150684,0.8809337433603579,0.05126353962686385,2,0.9401709401709402,0.9383561643835616,0.9213675213675213,0.9401709401709402,0.9435897435897436,0.9367310619365414,0.007866210972688055
0.9239724159240723,0.1043513429216595,0.06771354675292969,0.008789178709403897,5,2,150,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 150}",0.821917808219178,0.9115646258503401,0.910958904109589,0.8287671232876712,0.9178082191780822,0.8782033361289721,0.043281519010113706,4,0.9367521367521368,0.934931506849315,0.9230769230769231,0.9384615384615385,0.9401709401709402,0.9346786090621707,0.006057042973614205
0.30159592628479004,0.014306515401774664,0.02502021789550781,0.0028713818320127297,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.821917808219178,0.9251700680272109,0.8835616438356164,0.8287671232876712,0.9452054794520548,0.8809244245643463,0.04959606991965395,3,0.947008547008547,0.9383561643835616,0.9162393162393162,0.9452991452991453,0.9401709401709402,0.9374148226203021,0.011055193082900826
0.5701682567596436,0.07730600784200609,0.043138551712036136,0.005476697891881264,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.821917808219178,0.9115646258503401,0.910958904109589,0.8082191780821918,0.9246575342465754,0.8754636101015748,0.049743759295876204,6,0.9418803418803419,0.9332191780821918,0.9213675213675213,0.9401709401709402,0.9435897435897436,0.9360455450181477,0.008141393001476293
0.8249155044555664,0.0743815377423419,0.06193742752075195,0.005888911435607602,5,5,150,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 150}",0.821917808219178,0.9115646258503401,0.8904109589041096,0.8356164383561644,0.9246575342465754,0.8768334731152736,0.04096905202480754,5,0.9384615384615385,0.9315068493150684,0.9196581196581196,0.9418803418803419,0.9367521367521368,0.933651797213441,0.007757299484654069
0.427139949798584,0.06996226962992769,0.03165111541748047,0.0030562713170131585,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.7191780821917808,0.673469387755102,0.773972602739726,0.6164383561643836,0.821917808219178,0.7209952474140341,0.07236866226527794,12,0.9811965811965812,0.9845890410958904,0.9726495726495726,0.9846153846153847,0.9743589743589743,0.9794819107832806,0.0050655848669611155
0.6725056171417236,0.03154929063383365,0.04766530990600586,0.006051108743770789,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.7465753424657534,0.7142857142857143,0.7602739726027398,0.6438356164383562,0.815068493150685,0.7360078277886497,0.05642459342930971,10,0.9794871794871794,0.9845890410958904,0.9743589743589743,0.9863247863247864,0.9777777777777777,0.9805075518089217,0.004399922790374721
0.9563455581665039,0.008724969403699441,0.06527729034423828,0.0013842365093669244,10,2,150,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 150}",0.7397260273972602,0.7346938775510204,0.7671232876712328,0.636986301369863,0.8013698630136986,0.7359798714006149,0.05488383687850172,11,0.9811965811965812,0.9811643835616438,0.976068376068376,0.9846153846153847,0.9743589743589743,0.979480739960192,0.003742193283738498
0.3766016483306885,0.04732255254588957,0.030854511260986327,0.007481221101010976,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.7123287671232876,0.6938775510204082,0.8013698630136986,0.6917808219178082,0.8493150684931506,0.7497344143136706,0.06396923751233212,9,0.9794871794871794,0.9794520547945206,0.9726495726495726,0.9811965811965812,0.9726495726495726,0.9770869921554853,0.0036776222302838312
0.6812017917633056,0.028194296020839487,0.046861791610717775,0.00420903835586055,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.7671232876712328,0.7210884353741497,0.773972602739726,0.7054794520547946,0.8287671232876712,0.7592861802255149,0.04349469948477872,7,0.9777777777777777,0.9845890410958904,0.9709401709401709,0.9829059829059829,0.9709401709401709,0.9774306287319986,0.005754910391258307
0.955736780166626,0.01454820322167831,0.06487879753112794,0.0012110167283242695,10,5,150,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 150}",0.7808219178082192,0.7414965986394558,0.7808219178082192,0.684931506849315,0.8082191780821918,0.7592582238374803,0.04281844701479494,8,0.9777777777777777,0.9811643835616438,0.9692307692307692,0.9829059829059829,0.9743589743589743,0.9770875775670296,0.00490153602122312
