mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.7260886669158936,0.05157222451665383,0.062302017211914064,0.0016869835452386257,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.8287671232876712,0.9251700680272109,0.8972602739726028,0.8287671232876712,0.9452054794520548,0.8850340136054422,0.048400238638475715,1,0.9452991452991453,0.9383561643835616,0.9162393162393162,0.947008547008547,0.9418803418803419,0.9377567029621824,0.01116106390958426
1.4137943267822266,0.034849201833438516,0.10716085433959961,0.0022907515070952887,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.821917808219178,0.9183673469387755,0.9178082191780822,0.815068493150685,0.9315068493150684,0.8809337433603579,0.05126353962686385,2,0.9401709401709402,0.9383561643835616,0.9213675213675213,0.9401709401709402,0.9435897435897436,0.9367310619365414,0.007866210972688055
2.0444909572601317,0.008317530615728076,0.15433769226074218,0.002675585470912883,5,2,150,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 150}",0.821917808219178,0.9115646258503401,0.910958904109589,0.8287671232876712,0.9178082191780822,0.8782033361289721,0.043281519010113706,5,0.9367521367521368,0.934931506849315,0.9230769230769231,0.9384615384615385,0.9401709401709402,0.9346786090621707,0.006057042973614205
2.7290274143218993,0.05032023954288801,0.1986081600189209,0.0028159944563741477,5,2,200,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.8287671232876712,0.9047619047619048,0.9041095890410958,0.821917808219178,0.9246575342465754,0.8768427919112851,0.042748633708832966,6,0.9367521367521368,0.9297945205479452,0.9230769230769231,0.9384615384615385,0.9367521367521368,0.9329674511181361,0.005774473478519542
0.6957897663116455,0.002132253326112669,0.06129212379455566,0.001185362003988244,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.821917808219178,0.9251700680272109,0.8835616438356164,0.8287671232876712,0.9452054794520548,0.8809244245643463,0.04959606991965395,3,0.947008547008547,0.9383561643835616,0.9162393162393162,0.9452991452991453,0.9401709401709402,0.9374148226203021,0.011055193082900826
1.5653350830078125,0.24447932381361642,0.1167025089263916,0.00978229264283206,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.821917808219178,0.9115646258503401,0.910958904109589,0.8082191780821918,0.9246575342465754,0.8754636101015748,0.049743759295876204,9,0.9418803418803419,0.9332191780821918,0.9213675213675213,0.9401709401709402,0.9435897435897436,0.9360455450181477,0.008141393001476293
2.218230867385864,0.12466353598981914,0.1577000617980957,0.004642647269385969,5,5,150,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 150}",0.821917808219178,0.9115646258503401,0.8904109589041096,0.8356164383561644,0.9246575342465754,0.8768334731152736,0.04096905202480754,7,0.9384615384615385,0.9315068493150684,0.9196581196581196,0.9418803418803419,0.9367521367521368,0.933651797213441,0.007757299484654069
2.9438589572906495,0.12861658328384126,0.21701264381408691,0.01184140653098484,5,5,200,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.821917808219178,0.9047619047619048,0.8972602739726028,0.815068493150685,0.9178082191780822,0.8713633398564905,0.043720046921473577,12,0.9384615384615385,0.928082191780822,0.9230769230769231,0.9384615384615385,0.9367521367521368,0.9329668657065918,0.006267090853583991
0.7305806159973145,0.007699225598616662,0.0659322738647461,0.0011668674976324411,5,10,50,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50}",0.821917808219178,0.9115646258503401,0.8904109589041096,0.8356164383561644,0.9315068493150684,0.8782033361289722,0.04262621432327586,4,0.9452991452991453,0.940068493150685,0.9179487179487179,0.9418803418803419,0.947008547008547,0.9384410490574874,0.010534215194977893
1.516972827911377,0.10099217472745774,0.1180654525756836,0.00795523564757528,5,10,100,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.821917808219178,0.9047619047619048,0.9041095890410958,0.8082191780821918,0.9246575342465754,0.8727332028701893,0.047855439128239884,11,0.9418803418803419,0.940068493150685,0.9196581196581196,0.9418803418803419,0.9418803418803419,0.937073527689966,0.00873593318437127
